"variant_A","variant_B","nA0","nB0","nAB","n00","data_type"
"EGFR","PTEN",93,14,2,973,"Smo"
"EGFR","STK11",89,149,6,838,"Smo"
"EGFR","NF1",85,106,10,881,"Smo"
"EGFR","SETD2",91,49,4,938,"Smo"
"EGFR","STAG2",91,41,4,946,"Smo"
"EGFR","TSC1",94,17,1,970,"Smo"
"EGFR","RB1",88,38,7,949,"Smo"
"EGFR","FBXW7",41,11,0,361,"Smo"
"EGFR","RNF43",90,17,5,970,"Smo"
"EGFR","RBM10",85,83,10,904,"Smo"
"EGFR","MGA",72,57,9,828,"Smo"
"EGFR","KEAP1",88,185,7,802,"Smo"
"EGFR","KMT2D",85,90,10,897,"Smo"
"EGFR","SMAD4",91,32,4,955,"Smo"
"EGFR","TP53",33,440,62,547,"Smo"
"EGFR","NF2",95,8,0,979,"Smo"
"EGFR","PTPRD",78,189,17,798,"Smo"
"EGFR","MSH2",89,18,6,969,"Smo"
"EGFR","KDM6A",95,26,0,961,"Smo"
"EGFR","PALB2",92,28,3,959,"Smo"
"EGFR","PTEN",139,9,3,491,"nonSmo"
"EGFR","STK11",141,12,1,488,"nonSmo"
"EGFR","NF1",139,16,3,484,"nonSmo"
"EGFR","SETD2",139,17,3,483,"nonSmo"
"EGFR","STAG2",142,3,0,497,"nonSmo"
"EGFR","TSC1",142,2,0,498,"nonSmo"
"EGFR","RB1",135,15,7,485,"nonSmo"
"EGFR","FBXW7",62,4,1,289,"nonSmo"
"EGFR","RNF43",141,3,1,497,"nonSmo"
"EGFR","RBM10",129,14,13,486,"nonSmo"
"EGFR","MGA",122,14,3,442,"nonSmo"
"EGFR","KEAP1",140,12,2,488,"nonSmo"
"EGFR","KMT2D",140,16,2,484,"nonSmo"
"EGFR","SMAD4",138,14,4,486,"nonSmo"
"EGFR","TP53",87,133,55,367,"nonSmo"
"EGFR","NF2",142,6,0,494,"nonSmo"
"EGFR","PTPRD",139,14,3,486,"nonSmo"
"EGFR","MSH2",139,1,3,499,"nonSmo"
"EGFR","KDM6A",142,1,0,499,"nonSmo"
"EGFR","PALB2",142,3,0,497,"nonSmo"
"EGFR","CMTR2",54,32,1,601,"Smo"
"EGFR","APC",85,54,10,933,"Smo"
"EGFR","ATM",90,92,5,895,"Smo"
"EGFR","ARID2",86,50,9,937,"Smo"
"EGFR","ATRX",86,65,9,922,"Smo"
"EGFR","BRCA2",93,47,2,940,"Smo"
"EGFR","CDKN2A.p14arf",92,25,3,962,"Smo"
"EGFR","CDKN2A.p16INK4a",91,30,4,957,"Smo"
"EGFR","CMTR2",105,4,0,369,"nonSmo"
"EGFR","APC",140,13,2,487,"nonSmo"
"EGFR","ATM",139,15,3,485,"nonSmo"
"EGFR","ARID2",140,11,2,489,"nonSmo"
"EGFR","ATRX",138,14,4,486,"nonSmo"
"EGFR","BRCA2",142,10,0,490,"nonSmo"
"EGFR","CDKN2A.p14arf",140,10,2,490,"nonSmo"
"EGFR","CDKN2A.p16INK4a",139,9,3,491,"nonSmo"
