"variant_A","variant_B","ces_B_on_A","nA0","nB0","nAB","n00","data_type"
"KRAS","PTEN",42.9237595428764,2410,87,26,4788,"All"
"KRAS","STK11",245.688869941256,2085,360,351,4515,"All"
"KRAS","NF1",55.01343308225,2232,346,143,4451,"All"
"KRAS","SETD2",172.598178986886,2274,228,108,4542,"All"
"KRAS","STAG2",116.877007520576,2299,97,70,4650,"All"
"KRAS","TSC1",100.461454606738,2407,68,29,4807,"All"
"KRAS","RB1",55.5291007146282,2326,176,50,4630,"All"
"KRAS","RNF43",104.928939893857,2043,43,27,4247,"All"
"KRAS","RBM10",227.069224172946,1459,230,170,3233,"All"
"KRAS","MGA",229.888096435348,1375,142,98,3034,"All"
"KRAS","SMAD4",80.3413801906539,2367,155,62,4704,"All"
"KRAS","TP53",354.747561559712,1712,1985,724,2890,"All"
"KRAS","NF2",118.126575273134,2421,46,15,4829,"All"
"KRAS","PTPRD",27.4363499281176,1440,285,192,3181,"All"
"KRAS","MSH2",81.4990957016153,2403,67,33,4808,"All"
"KRAS","PALB2",114.166664065388,2339,82,43,4688,"All"
"KRAS","FBXW7",45.6184396204671,2157,61,24,3946,"All"
"KRAS","KEAP1",303.307880409912,1982,421,315,4196,"All"
"KRAS","KMT2D",111.598128192542,1790,257,158,3705,"All"
"KRAS","CMTR2",2520.7244223226,260,25,13,1026,"All"
"KRAS","APC",112.238086841779,2325,229,104,4630,"All"
"KRAS","ATM",279.710235422022,2110,249,320,4619,"All"
"KRAS","ARID2",60.1312250385718,2272,190,85,4533,"All"
"KRAS","KDM6A",84.2151666602862,2333,73,42,4681,"All"
"KRAS","ATRX",95.4188630540898,2179,204,143,4497,"All"
"KRAS","BRCA2",187.470661931399,2339,158,91,4710,"All"
"KRAS","CDKN2A.p14arf",42.7934843964015,2370,136,64,4738,"All"
"KRAS","CDKN2A.p16INK4a",58.3321340580555,2353,163,83,4712,"All"
"BRAF","PTEN",79.7225605395642,378,106,6,6682,"All"
"BRAF","STK11",34.4438377268933,332,655,52,6133,"All"
"BRAF","NF1",0.001,352,457,32,6331,"All"
"BRAF","SETD2",392.631249360771,329,282,52,6350,"All"
"BRAF","STAG2",33.9312046861407,364,152,15,6469,"All"
"BRAF","TSC1",91.1920132275972,374,87,10,6701,"All"
"BRAF","RB1",0.001,371,214,11,6563,"All"
"BRAF","FBXW7",41.3518963961707,313,76,9,5651,"All"
"BRAF","RNF43",109.578734791463,328,66,4,5823,"All"
"BRAF","RBM10",0.001,245,384,16,4331,"All"
"BRAF","MGA",106.985910901612,219,218,22,4190,"All"
"BRAF","KEAP1",98.999894726552,311,679,57,5751,"All"
"BRAF","KMT2D",169.287112177736,279,382,33,5100,"All"
"BRAF","SMAD4",4.76300797820399,368,199,16,6589,"All"
"BRAF","CMTR2",0.001,59,33,5,1227,"All"
"BRAF","TP53",561.694147537735,231,2498,153,4290,"All"
"BRAF","NF2",83.7996292730477,379,56,5,6732,"All"
"BRAF","PTPRD",5.0543416769996,218,437,40,4287,"All"
"BRAF","MSH2",91.9895158329404,379,95,5,6693,"All"
"BRAF","KDM6A",0.001,375,109,6,6523,"All"
"BRAF","BRCA2",119.215623721333,359,224,23,6553,"All"
"BRAF","PALB2",2.96977392362162,372,115,9,6517,"All"
"BRAF","CDKN2A.p14arf",60.1279283189828,372,185,12,6600,"All"
"BRAF","CDKN2A.p16INK4a",562.834983930009,368,228,16,6560,"All"
"BRAF","APC",39.4788593464787,355,303,29,6485,"All"
"BRAF","ATM",0.0412436363759098,349,535,33,6242,"All"
"BRAF","ARID2",42.5046773608076,349,246,29,6340,"All"
"BRAF","ATRX",16.8874977003318,349,314,30,6307,"All"
"EGFR","PTEN",118.040696140133,964,89,23,6096,"All"
"EGFR","STK11",608.30070461608,967,687,20,5498,"All"
"EGFR","NF1",0.001,945,447,42,5738,"All"
"EGFR","SETD2",0.001,941,304,30,5738,"All"
"EGFR","STAG2",0.001,952,151,16,5881,"All"
"EGFR","TSC1",0.001,978,88,9,6097,"All"
"EGFR","RB1",0.001,948,189,36,5986,"All"
"EGFR","FBXW7",60.1441352288443,818,75,10,5146,"All"
"EGFR","RNF43",0.001,884,63,7,5267,"All"
"EGFR","RBM10",516.766355031702,666,327,73,3910,"All"
"EGFR","MGA",0.001,661,206,34,3748,"All"
"EGFR","KEAP1",707.782689629364,926,706,30,5136,"All"
"EGFR","KMT2D",551.790100105892,788,380,35,4591,"All"
"EGFR","SMAD4",0.001,955,183,32,6002,"All"
"EGFR","TP53",908.339959210309,545,2209,442,3976,"All"
"EGFR","NF2",0.001,986,60,1,6125,"All"
"EGFR","PTPRD",0.000999999999976353,669,431,46,3836,"All"
"EGFR","MSH2",69.7904133403925,970,83,17,6102,"All"
"EGFR","KDM6A",0.000999999999976353,955,99,16,5943,"All"
"EGFR","PALB2",0.001,957,110,14,5932,"All"
"EGFR","CMTR2",314.252800005695,182,37,1,1104,"All"
"EGFR","APC",0.001,948,293,39,5892,"All"
"EGFR","ATM",696.136317098565,946,530,38,5645,"All"
"EGFR","ARID2",665.713725478738,933,244,31,5756,"All"
"EGFR","ATRX",622.606692849217,926,302,42,5730,"All"
"EGFR","BRCA2",0.001,958,221,26,5954,"All"
"EGFR","CDKN2A.p14arf",676.175480542075,963,173,24,6009,"All"
"EGFR","CDKN2A.p16INK4a",674.522569625305,958,215,29,5970,"All"
