gene,rate
ABL1,7.5257462612284e-07
AKT1,4.00254455126264e-07
AKT2,2.36360799953683e-07
AKT3,3.75292872899169e-07
ALK,7.97082855205196e-07
APC,2.66371234601806e-07
ARAF,2.19583652358234e-07
ATM,2.89850922941548e-07
ATR,1.52399766964839e-07
AURKB,2.58554244149341e-07
AXL,3.9340425877623e-07
BAP1,1.40891059744225e-07
BARD1,1.95870806639276e-07
BCL2,7.60821953560675e-07
BCL6,2.15199086318135e-07
BRAF,2.19282702831391e-07
BRCA1,3.00102091479324e-07
BRCA2,1.15548448145299e-07
BTK,3.73124036314404e-07
CBL,2.14469350882999e-07
CCND1,3.5320880197871e-07
CCND2,3.67141370753495e-07
CCND3,1.71964682127339e-07
CCNE1,3.24005128190275e-07
CDH1,1.23854312783103e-07
CDK4,2.24908463854574e-07
CDK6,3.40936818208446e-07
CDK8,1.23095015581794e-07
CDKN1B,1.84632505961252e-07
CDKN2B,5.85960445586055e-07
CDKN2C,3.9386923200399e-07
CHEK1,2.01997849456415e-07
CHEK2,1.1817127342442e-07
CRKL,1.49552227797887e-07
CSF1R,6.2851786152186e-07
CTNNB1,6.38628039088279e-07
DDR2,6.23680574389632e-07
EGFR,7.12752745907384e-07
EPHA3,1.0387976086693e-06
EPHA5,1.16039054668986e-06
EPHB1,1.00046792710381e-06
ERBB2,4.52072867177482e-07
ERBB3,1.67670310895404e-07
ERBB4,1.33076102923493e-06
ERG,2.20456421510214e-07
ETV6,3.94415345181673e-07
FBXW7,8.05108772461304e-07
FGF3,7.99742876756372e-07
FGF4,5.11761736685054e-07
FGFR1,6.20140986015442e-07
FGFR2,3.34664093234466e-07
FGFR3,1.56969074359633e-06
FGFR4,5.15187637384894e-07
FLT1,5.05944899201262e-07
FLT3,4.58953460219699e-07
FLT4,3.28686911747353e-07
GATA1,6.48079419864662e-07
GNAS,1.65061177726007e-06
GSK3B,3.81880961100675e-07
HRAS,1.20931559308918e-06
IGF1R,3.03714470969646e-07
IKBKE,2.56980853741657e-07
IRS2,1.46960052736431e-07
JAK1,1.762919922156e-07
JAK2,2.40149672445118e-07
JAK3,6.08809049209467e-07
JUN,3.64483137837029e-07
KDR,9.94334231638155e-07
KIT,1.209302615638e-06
KRAS,3.6265739231589e-07
MAP2K1,2.94357845079591e-07
MAP2K2,1.52361938750089e-07
MAP2K4,1.40828194867681e-07
MAP3K1,1.81569835959808e-07
MAP3K13,2.01626929389832e-07
MDM2,1.61330984486093e-07
MDM4,1.59404821344648e-07
MEN1,1.36414440346729e-07
MET,5.27759310537866e-07
MLH1,2.76048517686938e-07
MPL,3.14076985786695e-07
MSH2,2.28656129814912e-07
MSH6,1.88661919214721e-07
MYC,1.82738826673586e-07
MYCN,4.73445808794235e-07
NF1,2.87524099280256e-07
NF2,1.00814182094583e-07
NOTCH1,4.42313090402148e-07
NOTCH2,2.51812772438132e-07
NOTCH3,1.71068473324706e-07
NOTCH4,2.99670120662263e-07
NRAS,7.41306839103536e-07
NTRK1,5.03887161295728e-07
NTRK2,6.91831212105439e-07
NTRK3,1.22523433253065e-06
PDGFRA,1.18999347148669e-06
PDGFRB,3.86351820450534e-07
PIK3C2G,2.34662951395268e-07
PIK3C3,2.8231866638802e-07
PIK3CA,4.45580510449789e-07
PIK3CG,1.19864091462591e-06
PIK3R1,3.2088692203483e-07
PRKAR1A,1.75431541368619e-07
PTEN,1.25451876811507e-06
PTPN11,7.26420926336385e-07
RAF1,7.48301255998247e-08
RB1,6.19030875615341e-07
REL,2.98781142016492e-07
RET,6.77904870049036e-07
RICTOR,2.84024577086179e-07
RUNX1,1.51100879704675e-07
SMAD2,2.53398835435104e-07
SMAD4,4.97765929524375e-07
SMO,7.62701662235966e-07
SRC,3.30701654288507e-07
STK11,1.64388540267624e-06
SUFU,9.12930853714914e-08
SYK,1.94707291108811e-07
TGFBR2,3.30087187273722e-07
TP53,8.48600833517158e-07
TSC1,1.6543121346392e-07
TSC2,2.63674591575076e-07
TSHR,7.69132093827129e-07
VHL,6.20450549433132e-07
WT1,4.12762863292674e-07
PIK3R2,1.68850032803584e-07
