gene,rate
A1BG,1.00774844012594e-06
A1CF,7.84399457861041e-07
A2M,1.09425196479105e-06
A2ML1,1.02983769382414e-06
A3GALT2,1.43317311896963e-06
A4GALT,1.18683636231547e-06
A4GNT,1.15000629206463e-06
AAAS,6.0205779779438e-07
AACS,1.0674787335842e-06
AADAC,8.32133210849547e-07
AADACL2,6.72409230550703e-07
AADACL3,1.3614528280043e-06
AADACL4,1.03920663640459e-06
AADAT,5.98832921752682e-07
AAED1,9.96294236125515e-07
AAGAB,6.0535213401396e-07
AAK1,7.37819666306869e-07
AAMDC,8.306695343792e-07
AAMP,7.05829074437767e-07
AANAT,1.04599814749407e-06
AAR2,8.17145199912644e-07
AARD,1.14808289855813e-06
AARS,1.10351110027353e-06
AARS2,7.72727085658647e-07
AARSD1,9.34495299284166e-07
AASDH,6.32672695625757e-07
AASDHPPT,6.49023943159525e-07
AASS,7.00146693331838e-07
AATF,7.47990305137577e-07
AATK,9.44871213529459e-07
ABAT,1.24077057966547e-06
ABCA1,1.03029862451509e-06
ABCA10,7.77850398383967e-07
ABCA12,1.17896661303537e-06
ABCA13,9.80910036395387e-07
ABCA2,9.6032885868557e-07
ABCA3,1.48973169273971e-06
ABCA4,1.08828715578441e-06
ABCA5,5.87595810249933e-07
ABCA6,7.57902173873431e-07
ABCA7,1.13382132086207e-06
ABCA8,9.41367720459226e-07
ABCA9,6.94804008037433e-07
ABCB1,9.71390152942434e-07
ABCB10,8.8296132579349e-07
ABCB11,1.47737258802958e-06
ABCB4,1.38769477251382e-06
ABCB5,1.5656568505397e-06
ABCB6,8.59658556138863e-07
ABCB7,8.6711802877229e-07
ABCB8,9.01021818851627e-07
ABCB9,9.70033126276905e-07
ABCC1,1.20216936024691e-06
ABCC10,8.7929846735356e-07
ABCC11,1.40523307424518e-06
ABCC12,1.3996830443821e-06
ABCC2,8.54163216228934e-07
ABCC3,1.03272015045864e-06
ABCC4,9.53802448418283e-07
ABCC5,9.67931175534167e-07
ABCC6,8.73431580293319e-07
ABCC8,1.31150444588596e-06
ABCC9,1.34086501974958e-06
ABCD1,1.16181209848592e-06
ABCD2,1.1660878257471e-06
ABCD3,7.51269567480103e-07
ABCD4,1.0932063174492e-06
ABCE1,6.07135376079727e-07
ABCF1,7.52121068852769e-07
ABCF2,7.71956667450645e-07
ABCF3,8.4958943603892e-07
ABCG1,1.25591791789866e-06
ABCG2,1.03773917932624e-06
ABCG4,1.46667302108151e-06
ABCG5,1.29266772408118e-06
ABCG8,1.39033995639899e-06
ABHD1,9.88862033370008e-07
ABHD10,6.45820029427818e-07
ABHD11,8.58008443598728e-07
ABHD12,1.06297828397317e-06
ABHD12B,8.49337513294865e-07
ABHD13,7.96859559403909e-07
ABHD14A,8.28882450599381e-07
ABHD14B,7.72256007821116e-07
ABHD15,1.20340853496338e-06
ABHD16A,7.94583666043512e-07
ABHD17A,1.2747952048167e-06
