gene,selection_intensity,ci_low_95,ci_high_95
CYP4A22,9632.09794822106,1601.61817016095,29742.4727010331
GSTM5,5061.36770121721,841.599562650361,15628.7649488236
SELENBP1,8684.98933840609,1444.13147313476,26818.0027501044
SPRR3,4446.43981718172,1105.77326144584,11530.1529890018
CD48,1292.99950013576,214.998953218785,3992.58449956762
CACNA1E,1084.48075829452,180.32591987465,3348.74201891705
ZNF648,721.517399907988,119.973038956553,2227.94914330429
PRG4,6724.59565736765,1118.16109674353,20764.4979777033
KCNT2,1530.11385303239,254.423571915391,4724.880148286
DISC1,2660.42434344806,442.373574459616,8214.97112483542
RYR2,1240.2063359738,206.220364222033,3829.57834591901
ANKRD36C,23555.8758065818,5858.05898125374,61082.9280445916
XIRP2,1633.34687322359,271.589997802955,5043.59203260614
NFE2L2,10730.5129274769,1784.26411984286,33134.0613847153
STK16,686.458534646359,114.142949612221,2119.71931409486
DES,4641.00587346538,771.703748426188,14330.6764537506
SPATA3,22481.0433199025,8061.63558086802,48319.0024054618
CTNNB1,15975.8847000767,2656.45544411027,49331.1969490604
TRIM42,334.309248600868,55.5886885464746,1032.2960702953
PIK3CA,13939.8204140611,3538.39442424714,36894.0881381894
MB21D2,1951.24326857204,324.446774176412,6025.34783971606
ZNF141,1982.30654547766,329.616450157676,6121.05631417434
DEFB131,7315.73560895088,1216.45169053135,22590.0072590058
SLIT2,34522.8555890098,10717.5682871722,80199.9065244109
ADAMTS16,560.036893384081,93.1215063286308,1729.35402228793
ADAMTS12,1353.25954737101,225.017977777739,4178.70603265978
PCDHA1,659.024165543956,109.581799822378,2034.97767140619
PCDHA9,511.057602650075,84.9781235073184,1578.07422624707
TMEM14B,8321.23876397038,3307.30042835132,16862.355070718
HIST1H3B,350.119305945387,58.2171092817514,1081.13669292207
HLA-A,1690.31197861583,281.063938756019,5219.4169797927
RIPPLY2,2891.94889491497,480.871507339139,8929.87392063404
RADIL,834.213492418489,138.712206706341,2575.93272830129
TBX20,9517.03184952396,2366.76167922213,24678.8886583641
EGFR,1021158.95042504,697333.105850919,1512053.80832781
MET,15766.2415751446,2621.59810130317,48683.7645540259
PTPRZ1,10694.3911011182,1778.25603509443,33022.6031086134
BRAF,92871.1768124801,29530.735100434,218019.814151176
MGAM,1934.58486183651,321.681261245082,5973.70321283889
KMT2C,13152.4993681462,2186.98942671569,40612.819387442
PTPRN2,18294.0745128542,3041.92468519828,56489.298387651
LEPROTL1,1302.60702525129,216.596794190593,4022.23682735921
GDAP1,1820.29926509643,302.677821873323,5620.81233932227
PLEC,957.71936114553,159.248628854674,2957.29570810436
IFNA4,716.795894823542,119.188244831785,2213.35670274125
CNTNAP3,1073.81969820652,178.553835902995,3315.79342673749
LCN10,1700.83720406486,282.813997309969,5251.92011015971
LINC00999,8460.12941167069,2103.91783817455,21938.3167154919
BMS1,1257.34174801735,209.069895376046,3882.46991976876
TRIM48,3882.69208450024,965.577176476126,10068.26009231
OR5L1,2049.37290296231,340.767822950059,6328.16519199677
OR8H2,459.339175827448,76.378431336351,1418.37602676001
AP003062.1,14939.892639065,2484.1920177107,46132.184683496
KRAS,125245.708169359,44561.2821634429,283800.701311512
FAM186A,518.750857832236,86.2575396912913,1601.82157131001
KRT86,1397.24127826258,347.477203846082,3623.18715071803
KRT8,1571.6990424593,261.340719616034,4853.17455254632
TDG,3977.79853064256,989.226021288606,10314.9300308058
FICD,3567.19377005748,593.149963380431,11014.9606338072
ACACB,1548.01699372761,257.400523127682,4780.15782405848
DTX1,6187.94019502032,1028.92521924272,19107.4456865657
MTUS2,436.550746927752,72.5887550902611,1348.0291437413
KLF5,2430.30285668556,404.10299428326,7504.67792809079
ADPRHL1,2473.33077113361,411.263669932001,7637.2618413179
ARHGAP5,2798.21545475239,465.285722593904,8640.43101574062
AKT1,3597.79053467047,598.236938152411,11109.4671083763
KIAA0125,1164.39548371311,193.614572229583,3595.48399032465
MKRN3,964.787734710336,160.423571650854,2979.14105595236
UACA,2797.81434226736,465.210988859099,8639.56482838933
CACNA1H,1777.80359032318,295.611544642738,5489.597936412
ABCC6,2114.71387294544,351.630890085048,6530.02040788116
TP53TG3C,1001.05283039056,166.454314197832,3091.09473670893
WDR81,3739.25226919495,621.757540611386,11546.35330556
TP53,138083.0512615,26772.2809937941,404817.989941065
NOS2,1219.48781865718,202.775167277394,3765.60621343081
TMEM97,1856.14873629798,308.639301489382,5731.49017358697
TBC1D29,3889.17100208105,967.187630383923,10085.0787229913
CWC25,2536.08294198973,421.69676949125,7831.09344270096
MED1,1741.03522256056,289.496816565386,5376.10021504081
KRTAP9-9,3616.11869447396,601.285480592149,11166.0182283185
CA10,916.65220158144,152.420255770982,2830.48160513796
FADS6,1639.41630219255,407.70188581097,4251.20361870193
METTL23,998.725608668528,166.066293913897,3083.95961907053
OR1M1,481.633780339753,80.0855630181999,1487.21827328908
ZNF709,8276.83227494924,1376.26319164398,25557.6927313023
TNPO2,2441.44519036798,405.962116266143,7538.78624676288
RAB8A,14184.5733537334,2358.59627319308,43799.967959952
ZNF708,15280.1893134998,2540.76049006673,47183.7131163794
ZNF493,12692.8400460667,2110.55480217771,39193.5849901834
ZNF91,51282.4438427736,8527.15628907308,158354.574825299
ZNF536,638.934246253726,106.241552848943,1972.92951891218
RHPN2,2830.45437279717,703.899391333058,7339.66947168725
PPP2R1A,1532.18984723658,254.770926724574,4731.19045487373
ZNF880,15636.3289553335,2599.99534898983,48282.6426073842
ZNF468,8800.55640871455,1463.35093082273,27174.7229605316
DEFB124,2908.19445341205,483.57020451846,8980.15883186199
SYNJ1,1728.01721217303,287.331922016408,5335.91770314978
DNMT3L,1086.70649216593,180.696610963098,3355.58666584231
KRTAP10-6,6502.42746764932,1081.21885533857,20078.4842835662
CARD10,3018.94284518445,501.987244129312,9322.04998540858
VCX,593.176939204459,98.6330138349657,1831.64015180355
TLR7,7480.80019252416,1243.88613546384,23100.2593142976
CCNB3,2751.75496322879,684.326113562448,7135.63514929003
TEX11,1511.51134672002,251.332416675363,4667.34033660778
MTMR1,1783.50292265522,296.557537599522,5507.27513883642
