gene,rate
A1BG,1.94380764796938e-06
A1CF,4.07167286690835e-06
A2M,1.9929470923878e-06
A2ML1,2.90527428858218e-06
A3GALT2,1.22884468617063e-06
A4GALT,1.54365645999175e-06
A4GNT,3.17962892807955e-06
AAAS,5.56864123408005e-07
AACS,3.14804056328634e-06
AADAC,1.19948813759164e-06
AADACL2,1.8211071795776e-06
AADACL3,3.82830481993478e-06
AADACL4,3.51699750358039e-06
AADAT,1.44055455750193e-06
AAED1,9.87308054388984e-07
AAGAB,8.46136641675128e-07
AAK1,1.06791407523283e-06
AAMDC,1.10850912816341e-06
AAMP,1.14893115263133e-06
AANAT,1.61257021333318e-06
AAR2,2.09639201374381e-06
AARD,2.2206779868044e-06
AARS,2.0258347315518e-06
AARS2,1.32257495360895e-06
AARSD1,1.3388468087576e-06
AASDH,2.01664974102356e-06
AASDHPPT,2.51899524425075e-06
AASS,2.25378073498417e-06
AATF,9.7369604428411e-07
AATK,7.42386289690375e-07
ABAT,2.17983414491568e-06
ABCA1,2.0161639599898e-06
ABCA10,1.88877199801864e-06
ABCA12,2.16477641574086e-06
ABCA13,2.92258799836456e-06
ABCA2,8.31916735636002e-07
ABCA3,2.88987464324273e-06
ABCA4,2.73499562215671e-06
ABCA5,1.5274917468781e-06
ABCA6,1.47553108879817e-06
ABCA7,2.54210657365088e-06
ABCA8,2.688472944763e-06
ABCA9,3.00217103936715e-06
ABCB1,4.90025515070685e-06
ABCB10,8.96406112262191e-07
ABCB11,3.95468039628746e-06
ABCB4,4.22611292077793e-06
ABCB5,7.24393590159446e-06
ABCB6,7.91726499549167e-07
ABCB7,1.19472837437123e-06
ABCB8,2.0149471173222e-06
ABCB9,1.12211919688168e-06
ABCC1,2.42786704408456e-06
ABCC10,1.32677699012718e-06
ABCC11,5.24702982052707e-06
ABCC12,3.36432324870873e-06
ABCC2,2.95923176480841e-06
ABCC3,2.60013857633317e-06
ABCC4,1.518973372899e-06
ABCC5,1.75295065857081e-06
ABCC6,1.22512283951037e-06
ABCC8,2.84883979307362e-06
ABCC9,3.97653416611416e-06
ABCD1,2.15946742194289e-06
ABCD2,3.05766024543129e-06
ABCD3,8.58542867871629e-07
ABCD4,1.60761186798025e-06
ABCE1,5.47165885922761e-07
ABCF1,1.19447961585686e-06
ABCF2,1.08021325343745e-06
ABCF3,2.51620968659224e-06
ABCG1,2.97141090642559e-06
ABCG2,3.29719030181006e-06
ABCG4,4.44805023037993e-06
ABCG5,2.81615783134909e-06
ABCG8,4.86165672060606e-06
ABHD1,2.70054506141125e-06
ABHD10,7.2492549539523e-07
ABHD11,2.36570371939202e-06
ABHD12,8.26587686431686e-07
ABHD12B,1.48604937636742e-06
ABHD13,1.69201371140493e-06
ABHD14A,8.54595953554005e-07
ABHD14B,1.56077574314455e-06
ABHD15,1.89605499215454e-06
ABHD16A,1.01759238342811e-06
ABHD17A,2.21560599235588e-06
ABHD17B,1.30214310218764e-06
ABHD17C,8.9714624155316e-07
ABHD2,2.01457005176346e-06
ABHD3,1.05644716825738e-06
ABHD4,1.72584005083724e-06
ABHD5,1.31009930967489e-06
ABHD6,1.00574900420033e-06
ABHD8,6.61789226884575e-07
ABI1,1.07088044531955e-06
ABI2,1.35295987316211e-06
ABI3,4.7363777963438e-06
ABI3BP,1.02628578015437e-06
ABL1,2.5427942729e-06
ABL2,2.06950126033244e-06
ABLIM1,2.40073058544379e-06
ABLIM2,3.75305189257823e-06
ABLIM3,1.40298153126386e-06
ABR,8.6912780655682e-07
ABRA,1.63098844170317e-06
ABRACL,1.30309025190002e-06
ABT1,1.47976512132339e-06
ABTB1,1.1864454951451e-06
ABTB2,1.57339915985397e-06
AC000003.2,2.44954801428269e-06
AC002365.1,2.04382277480735e-06
AC002451.1,2.39413554090991e-06
AC002472.1,8.42030672488034e-07
AC002472.13,8.29579404462846e-07
AC002553.1,6.92309349483507e-07
AC003043.1,1.54489528924722e-06
AC003101.1,1.32490914090226e-06
AC004017.1,1.62408937537167e-06
AC004381.6,1.25691766379069e-06
AC004528.1,3.9296263526882e-06
AC004817.1,1.68944158324271e-06
AC004824.2,1.10987630401956e-06
AC004899.1,3.11525749559161e-06
AC005003.1,7.77630273956658e-07
AC005008.2,1.03704809988844e-06
AC005082.1,9.22910492050235e-07
AC005477.1,2.13757577352269e-06
AC005481.5,3.53794129737492e-06
AC005488.1,7.94932334401643e-07
AC005493.1,4.14702433411876e-06
AC005549.3,1.12593504765808e-06
AC005609.1,6.30909728708167e-06
AC005841.1,8.84451132844388e-07
AC006014.1,8.86694689330961e-07
AC006116.20,1.95533499959737e-06
AC006126.3,6.33484653107664e-07
AC006156.1,1.29211007752711e-06
AC006372.1,1.41849195397316e-06
AC006455.1,2.34516040987029e-06
AC006486.1,8.58403500690893e-07
AC006547.14,9.45114774241679e-07
AC006946.15,2.51818078482646e-06
AC006967.1,1.69897237693297e-06
AC007204.1,3.80722841422802e-06
AC007216.2,1.04826303358441e-06
AC007377.1,1.64892337370031e-06
AC007382.1,7.27088232309042e-07
AC007401.2,1.20515284412278e-06
AC007461.1,2.15752907650069e-06
AC007557.1,1.14124671273114e-06
AC007919.2,1.53767695152682e-06
AC007952.1,6.67253711907309e-07
AC007952.5,1.27637807336235e-06
AC007952.6,1.06777792274948e-06
AC007965.1,3.67965863396468e-06
AC008060.7,2.77839439839905e-06
AC008132.1,1.00805253134819e-06
AC008132.13,7.44715368778353e-07
AC008267.1,2.70516512474452e-06
AC008372.1,1.5224509797543e-06
AC008387.1,1.08094419731093e-06
AC008394.1,1.20326461652752e-06
AC008498.1,1.23096744910045e-06
AC008686.1,7.42555049678868e-07
AC008914.1,5.97413801423929e-07
AC009041.2,2.42432516632591e-06
AC009060.1,9.48335392575306e-07
AC009365.3,4.14170039854321e-06
AC009403.2,1.8094348672293e-06
AC009802.1,9.76893179444368e-07
AC009892.10,2.91808570672956e-06
AC009977.1,2.33600050351858e-06
AC010368.2,1.01091528976007e-06
AC010536.1,8.5717101880364e-07
AC010760.1,4.66164821382097e-06
AC010877.1,1.52671908321259e-06
AC011294.3,7.16065081819761e-07
AC011298.1,1.4304511160367e-06
AC011366.3,4.44797942891249e-06
AC011475.1,8.75939749956905e-07
AC011500.1,6.47792162792565e-07
AC011551.3,1.0731967422643e-06
AC011755.1,2.22641801140888e-06
