gene,selection_intensity,ci_low_95,ci_high_95
MMEL1,106.715993007157,17.7446819855238,329.521451314244
PRDM16,710.940986235109,118.214898398136,2195.26867012037
LRRC47,684.820891157765,113.871688567035,2114.61392892423
CHD5,297.090849829853,49.4001092172669,917.367769963757
PER3,911.340004917441,226.639624439431,2363.1920870022
SLC2A7,648.00445268761,107.749790328593,2000.93060491819
CLSTN1,867.169159632643,144.192466955868,2677.67552309083
UBE4B,159.798215908783,26.5711584278237,493.430654994351
MASP2,217.201296520357,36.116079161733,670.683971644467
MTOR,673.045322525431,111.913586430792,2078.25160792275
VPS13D,301.883550483513,50.1970488856724,932.166695288184
PRAMEF12,111.08938900858,18.4718833444292,343.025982737803
PRAMEF4,59.7551655945921,9.9360579332251,184.514171301852
PRAMEF14,65.9713337069166,10.9696803143369,203.708656209565
PRAMEF20,191.761905511484,31.8860728998579,592.129280421815
SPEN,649.198052415792,107.948305151995,2004.61579929053
CLCNKA,453.423977813913,75.3951150182439,1400.09883758155
PADI1,206.805387391211,34.3874925961409,638.581238865668
ARHGEF10L,440.450625260564,73.2379001787726,1360.03989673773
KLHDC7A,112.542607154163,18.7135294560713,347.513039499406
HTR6,1096.4812531231,182.322231314747,3385.75280306713
HSPG2,504.958110036482,83.9641494866744,1559.2279738305
C1QB,196.748834158538,32.7153010321104,607.527899789567
DHDDS,86.0724499256864,14.3120797758581,265.777785293136
ARID1A,3924.67342284379,713.105837012167,11797.7488913954
FAM46B,707.555128214686,117.651915648254,2184.81317981338
PTPRU,1712.96553469383,284.830992068798,5289.3562477478
PUM1,1474.65641625381,245.205113368076,4553.49601044158
PHC2,96.4747532273602,16.0417749897627,297.898118128541
CSMD2,1441.69649290165,239.724368339547,4451.72372090412
DLGAP3,131.910636454847,21.9340365748569,407.318304139771
MACF1,746.701223908134,124.1610349956,2305.69435243951
KIAA0754,1953.81121829357,324.878711215015,6033.04732138397
ZMPSTE24,557.887148130929,92.7651721037623,1722.66326376932
HIVEP3,253.347648711008,42.1264670149238,782.298287980404
KLF17,234.68934907946,39.0240441564761,724.68220504375
MUTYH,1892.19961500596,314.634127752342,5842.80275864674
CYP4A22,6143.55987771899,1439.96194127296,16458.37035957
DAB1,107.961852388223,17.951840793314,333.368526264767
OMA1,399.18966326371,66.377054921078,1232.63261765512
TM2D1,731.629970365648,121.655014443429,2259.15222502517
DOCK7,313.511881223433,52.1305698046314,968.074572177265
CACHD1,581.952770083681,96.7668146671538,1796.97474478185
LEPR,202.345648819514,33.6459231812953,624.810587533008
SGIP1,184.231878109839,30.6339835913832,568.877843753643
C1orf141,2743.84934303104,456.245800429209,8472.55588624347
IL12RB2,130.778953144073,21.7458473090951,403.824482949995
DIRAS3,77.8875000003677,12.9510946191637,240.503800019083
RPE65,270.052740017664,44.9042347121648,833.878499664428
DEPDC1,144.323415799501,23.9980205507266,445.647238155674
LRRC7,558.262705166928,92.8276511474747,1723.82385647438
ANKRD13C,328.241043452299,54.5797590889662,1013.55443528332
LRRIQ3,305.250359997505,50.7568768568566,942.5630497529
C1orf173,919.565350353296,152.904849144714,2839.46770291937
SLC44A5,176.331402987617,29.3202990954564,544.482350645456
ACADM,1877.94723583689,312.264149369663,5798.79357572944
ASB17,35.2913448073624,5.86822711752517,108.973858637331
PTGFR,1100.07716283663,182.920094739107,3396.85549004754
LPHN2,192.37532721712,31.9880665874422,594.023744606298
TTLL7,403.016316391896,67.0133494217542,1244.44878852085
MCOLN3,389.177791792431,64.7122900056878,1201.71734099277
CLCA4,239.185121700266,39.7715733375688,738.564775432053
GTF2B,738.141958599913,122.737802423328,2279.25989057537
DPYD,212.923461274138,35.4048092940563,657.472554525291
LPPR5,361.638550263717,60.1330665060084,1116.68091466491
LPPR4,80.4255937926249,13.373125661681,248.341111967932
S1PR1,78.5037977282544,13.0535719891379,242.406844441862
COL11A1,1014.55436628405,199.008247149229,2950.82153290912
AMY2B,232.040143460216,38.5835148182186,716.502072575848
NTNG1,375.912664866746,62.5065717551246,1160.75639918861
SYPL2,527.201857983967,87.6628642427058,1627.9126850959
CYB561D1,376.439364581713,62.5941523668105,1162.38290445947
GSTM5,797.637796544774,247.626499539192,1852.9737482136
OVGP1,657.694407994007,109.361114383811,2030.85194280419
ADORA3,221.425377387595,36.8184745366681,683.726449860338
KCND3,142.442838781918,35.4239574852931,369.368602746418
SYT6,127.917139223061,21.2699975382656,394.987172787934
NRAS,7507.39204506725,2996.98293589671,15750.8326867665
