third gene,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
EGFR,74,82,14,0,48,66,10,0
EML4,153,3,14,0,112,2,10,0
BRAF,148,8,14,0,109,5,10,0
PIK3CA,144,12,13,1,108,6,10,0
TTF1,156,0,14,0,114,0,10,0
MET,147,9,14,0,109,5,10,0
STK11,152,4,10,4,111,3,10,0
ERBB2,145,11,14,0,109,5,10,0
LRP1B,137,19,12,2,98,16,9,1
KEAP1,152,4,9,5,110,4,10,0
NF1,150,6,14,0,102,12,10,0
ROS1,151,5,14,0,111,3,10,0
ALK,151,5,14,0,110,4,9,1
APC,144,12,12,2,109,5,8,2
NRAS,154,2,14,0,113,1,10,0
ATM,151,5,14,0,109,5,10,0
RET,154,2,13,1,114,0,10,0
ERBB4,152,4,14,0,113,1,9,1
RBM10,141,15,14,0,109,5,10,0
PARP4,152,4,14,0,112,2,9,1
LYST,151,5,14,0,107,7,10,0
RHPN2,151,5,14,0,112,2,10,0
RB1,152,4,14,0,96,18,9,1
CTNNB1,146,10,14,0,111,3,10,0
SETD2,144,12,13,1,110,4,10,0
MGA,149,7,14,0,110,4,10,0
SMAD4,149,7,14,0,114,0,10,0
PTEN,151,5,14,0,112,2,10,0
ATF7IP,153,3,14,0,112,2,10,0
NCOR2,153,3,14,0,113,1,9,1
ZMYM2,154,2,14,0,112,2,10,0
RASA1,152,4,14,0,112,2,10,0
U2AF1,153,3,14,0,114,0,10,0
PBRM1,152,4,14,0,111,3,9,1
SMARCA4,149,7,14,0,111,3,10,0
ARID1A,150,6,13,1,110,4,10,0
CBL,152,4,14,0,112,2,10,0
FBXW7,154,2,14,0,110,4,8,2
PPP2R1A,154,2,14,0,112,2,10,0
BRD3,156,0,14,0,113,1,10,0
FGFR3,156,0,13,1,112,2,10,0
GOPC,156,0,14,0,114,0,10,0
NFE2L2,151,5,14,0,112,2,9,1
HRAS,155,1,14,0,114,0,10,0
MAP2K1,155,1,14,0,114,0,10,0
TSC1,155,1,14,0,114,0,10,0
TSC2,155,1,14,0,110,4,9,1
AKT1,156,0,14,0,112,2,9,1
mTOR,153,3,14,0,109,5,10,0
KMT2D,150,6,14,0,111,3,10,0
BRCA1,152,4,13,1,111,3,10,0
BRCA2,152,4,14,0,112,2,10,0
POLD1,156,0,14,0,113,1,10,0
POLE,156,0,14,0,113,1,10,0
MSH2,155,1,14,0,113,1,10,0
PRKDC,152,4,14,0,106,8,8,2
RAD17,156,0,14,0,114,0,10,0
POLR2A,155,1,14,0,111,3,9,1
PAPPA2,150,6,12,2,109,5,7,3
PXDNL,151,5,14,0,112,2,10,0
RYR1,145,11,12,2,110,4,8,2
SCN8A,153,3,13,1,114,0,9,1
SLIT3,152,4,14,0,111,3,9,1
EPHA3,152,4,13,1,111,3,10,0
PTPRD,153,3,14,0,103,11,9,1
SMG1,154,2,13,1,106,8,9,1
INHBA,153,3,14,0,114,0,10,0
KDR,152,4,14,0,112,2,10,0
FGFR4,155,1,14,0,114,0,10,0
NTRK2,152,4,14,0,114,0,10,0
EPHA7,154,2,14,0,113,1,9,1
PRKCG,153,3,14,0,110,4,10,0
FLT4,153,3,14,0,112,2,10,0
PDGFRA,155,1,14,0,113,1,10,0
CDC27,153,3,14,0,114,0,10,0
SETBP1,151,5,14,0,110,4,9,1
NAV3,148,8,13,1,110,4,8,2
MYC,155,1,14,0,113,1,10,0
FAT1,149,7,14,0,107,7,9,1
NKX2-1,154,2,14,0,114,0,10,0
KIF5B,155,1,14,0,112,2,10,0
TLR4,150,6,14,0,111,3,8,2
GRM1,154,2,14,0,110,4,10,0
TERT,154,2,14,0,111,3,9,1
MDM2,155,1,14,0,114,0,10,0
CCND1,156,0,14,0,114,0,10,0
CDKN2A,151,5,14,0,112,2,9,1
EPRS1,147,9,14,0,111,3,9,1
CTIF,156,0,14,0,113,1,10,0
MTREX,155,1,14,0,112,2,10,0
ADGRL3,151,5,13,1,108,6,10,0
FGFR1,154,2,14,0,112,2,10,0
RBP1,156,0,14,0,114,0,10,0
LMTK2,155,1,14,0,114,0,10,0
NOTCH2,149,7,14,0,111,3,10,0
FGFR2,153,3,14,0,109,5,10,0
AXL,156,0,14,0,114,0,10,0
RIT1,153,3,13,1,113,1,10,0
CCNE1,154,2,14,0,114,0,10,0
TERC,156,0,14,0,114,0,10,0
MECOM,152,4,14,0,111,3,10,0
ZFHX4,145,11,13,1,105,9,9,1
