third gene,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
EGFR,118,115,24,1,74,113,13,0
EML4,153,3,14,0,112,2,10,0
BRAF,218,15,25,0,180,7,13,0
PIK3CA,214,19,23,2,171,16,13,0
TTF1,156,0,14,0,114,0,10,0
MET,218,15,25,0,180,7,13,0
STK11,226,7,21,4,182,5,13,0
ERBB2,217,16,25,0,175,12,13,0
LRP1B,137,19,12,2,98,16,9,1
KEAP1,228,5,20,5,182,5,13,0
NF1,227,6,25,0,172,15,13,0
ROS1,228,5,25,0,184,3,13,0
ALK,227,6,25,0,182,5,12,1
APC,217,16,23,2,180,7,11,2
NRAS,231,2,25,0,185,2,13,0
ATM,225,8,25,0,180,7,13,0
RET,231,2,24,1,187,0,13,0
ERBB4,228,5,25,0,185,2,12,1
RBM10,213,20,25,0,182,5,13,0
PARP4,152,4,14,0,112,2,9,1
LYST,151,5,14,0,107,7,10,0
RHPN2,151,5,14,0,112,2,10,0
RB1,228,5,25,0,162,25,12,1
CTNNB1,218,15,25,0,179,8,13,0
SETD2,210,23,24,1,181,6,11,2
MGA,198,9,20,2,153,4,11,0
SMAD4,220,13,25,0,183,4,12,1
PTEN,226,7,25,0,180,7,13,0
ATF7IP,153,3,14,0,112,2,10,0
NCOR2,153,3,14,0,113,1,9,1
ZMYM2,154,2,14,0,112,2,10,0
RASA1,228,5,25,0,185,2,13,0
U2AF1,229,4,25,0,186,1,13,0
PBRM1,229,4,25,0,183,4,12,1
SMARCA4,223,10,24,1,182,5,13,0
ARID1A,221,12,24,1,179,8,12,1
CBL,229,4,25,0,185,2,13,0
FBXW7,230,3,25,0,180,7,11,2
PPP2R1A,231,2,24,1,185,2,13,0
BRD3,156,0,14,0,113,1,10,0
FGFR3,233,0,24,1,185,2,13,0
GOPC,156,0,14,0,114,0,10,0
NFE2L2,227,6,25,0,185,2,12,1
