third gene,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
EGFR,1737,1078,2046,38,1784,1069,1032,39
EML4,520,5,213,2,462,11,125,2
BRAF,2575,240,2028,56,2658,195,1036,35
PIK3CA,2646,169,1988,96,2698,155,997,74
TTF1,456,4,151,4,410,5,105,2
MET,2605,206,2042,33,2709,136,1035,33
STK11,2465,335,1508,558,2519,292,932,121
ERBB2,2649,166,2050,34,2699,154,1058,13
LRP1B,1098,111,631,110,915,265,285,143
KEAP1,2040,193,1271,301,1903,311,708,96
NF1,2241,143,1584,90,2026,306,770,87
ROS1,2290,42,1636,22,2234,94,833,17
ALK,2746,63,2012,66,2699,140,1000,69
APC,2629,124,1964,81,2613,177,972,68
NRAS,2776,33,2066,12,2782,57,1056,13
ATM,2598,158,1719,328,2641,145,960,78
RET,2776,39,2028,55,2759,94,1014,57
ERBB4,2721,76,1988,74,2597,201,957,92
RBM10,1460,183,931,178,1491,120,496,60
PARP4,844,13,437,8,835,24,274,11
LYST,439,21,149,6,358,57,98,9
RHPN2,691,15,373,3,618,14,198,4
RB1,2691,62,2016,29,2565,220,975,65
CTNNB1,2649,166,2040,43,2772,81,1058,13
SETD2,2139,172,1546,85,2141,128,770,56
MGA,1458,68,923,73,1338,99,451,52
SMAD4,2678,122,2009,57,2703,108,1000,53
PTEN,2713,102,2041,43,2732,121,1024,47
ATF7IP,451,9,148,7,397,18,98,9
NCOR2,483,9,192,5,431,25,116,8
ZMYM2,514,5,210,1,457,15,123,2
RASA1,1560,18,1028,8,1472,50,520,4
U2AF1,1875,30,1301,42,1823,20,627,29
PBRM1,2178,47,1531,38,2113,91,773,28
SMARCA4,2200,108,1496,131,2065,202,777,48
ARID1A,2202,109,1523,108,2081,188,752,74
CBL,2343,35,1652,24,2255,62,834,19
FBXW7,2772,34,2048,24,2762,63,1022,33
PPP2R1A,2059,14,1394,19,2028,34,717,17
BRD3,732,5,400,2,662,14,219,3
FGFR3,2790,19,2060,18,2809,30,1049,20
GOPC,485,0,193,2,448,5,123,0
NFE2L2,2286,33,1601,33,2228,51,812,17
HRAS,2803,12,2076,8,2836,17,1062,9
MAP2K1,2413,28,1701,6,2361,25,876,10
TSC1,2350,32,1652,18,2268,51,839,14
TSC2,2337,45,1628,42,2235,84,821,32
AKT1,2802,13,2076,8,2827,26,1062,9
mTOR,444,16,148,7,390,25,101,6
KMT2D,1843,100,1263,101,1705,165,593,66
BRCA1,2332,50,1631,41,2244,88,824,29
BRCA2,2314,68,1607,65,2230,102,811,42
POLD1,1627,14,1075,19,1516,38,535,14
POLE,1701,35,1132,41,1622,77,532,48
MSH2,2350,24,1654,13,2258,51,828,22
PRKDC,1389,60,889,67,1246,137,460,61
RAD17,457,3,155,0,410,5,105,2
POLR2A,454,6,151,4,406,9,101,6
PAPPA2,642,30,316,25,536,81,168,33
PXDNL,422,38,131,24,352,63,83,24
RYR1,426,41,138,20,351,68,82,27
SCN8A,452,8,146,9,392,23,97,10
SLIT3,655,17,327,14,577,40,186,15
EPHA3,2079,77,1386,89,1926,172,675,79
PTPRD,1790,79,1185,118,1584,216,558,92
SMG1,679,10,345,11,585,31,193,10
INHBA,1816,20,1169,27,1709,72,600,31
KDR,2697,59,1974,73,2625,161,975,63
FGFR4,2366,22,1648,35,2275,64,841,19
NTRK2,2326,42,1632,31,2249,59,812,36
EPHA7,1658,30,1105,32,1474,100,528,32
PRKCG,508,15,188,3,426,29,126,5
FLT4,2319,42,1597,60,2200,102,804,42
PDGFRA,2676,38,1941,75,2636,149,980,53
CDC27,456,4,155,0,408,7,102,5
SETBP1,949,37,585,44,798,110,263,55
NAV3,420,43,130,29,330,87,76,32
MYC,2341,9,1647,10,2282,24,845,8
FAT1,1554,76,1021,78,1416,183,485,67
NKX2-1,2271,31,1527,94,2215,43,795,28
KIF5B,509,3,209,0,462,7,123,1
TLR4,634,33,341,29,558,62,178,21
GRM1,443,17,143,12,380,35,98,9
TERT,1986,22,1357,29,1836,51,658,21
MDM2,2329,18,1647,7,2276,17,843,6
CCND1,2368,6,1661,5,2293,15,844,5
CDKN2A,2696,104,1987,79,2600,211,964,89
EPRS1,443,17,148,7,393,22,97,10
CTIF,458,2,154,1,407,8,107,0
MTREX,456,4,151,4,398,17,104,3
ADGRL3,430,30,134,21,344,71,82,25
FGFR1,2789,20,2051,27,2772,67,1054,15
RBP1,460,0,152,3,412,3,107,0
LMTK2,519,4,189,2,436,19,127,4
NOTCH2,2332,50,1639,31,2201,118,804,49
