gene,rate
A1BG,2.92594081622891e-06
A1CF,6.5584956276766e-06
A2M,2.42886149732542e-06
A2ML1,4.2993658934329e-06
A3GALT2,1.66133928908479e-06
A4GALT,2.21079441749867e-06
A4GNT,4.01837042790221e-06
AAAS,7.40113178957682e-07
AACS,4.85119331845005e-06
AADAC,1.71532248018237e-06
AADACL2,2.80099028918445e-06
AADACL3,4.93154231418985e-06
AADACL4,4.66336028581855e-06
AADAT,2.12208166903922e-06
AAED1,1.29900966367256e-06
AAGAB,1.15778357127113e-06
AAK1,1.61304425337279e-06
AAMDC,1.4977822521281e-06
AAMP,1.16507718299545e-06
AANAT,2.28903724289683e-06
AAR2,3.11269233740203e-06
AARD,3.20298538574925e-06
AARS,2.29588955723249e-06
AARS2,1.65939107991633e-06
AARSD1,1.38104654954461e-06
AASDH,3.16165790584288e-06
AASDHPPT,3.8917138582729e-06
AASS,2.705261877258e-06
AATF,8.37811293746949e-07
AATK,7.83532045299087e-07
ABAT,2.57961079240735e-06
ABCA1,2.72415616211333e-06
ABCA10,2.30502187486144e-06
ABCA12,2.58330919458117e-06
ABCA13,4.38634394671597e-06
ABCA2,1.29270151198642e-06
ABCA3,3.69856680818209e-06
ABCA4,3.91222993002677e-06
ABCA5,2.41957874415549e-06
ABCA6,2.32901519306481e-06
ABCA7,3.39352684941385e-06
ABCA8,3.98782609108705e-06
ABCA9,4.85434963670286e-06
ABCB1,7.58324507319017e-06
ABCB10,1.29911476998861e-06
ABCB11,5.94734625745812e-06
ABCB4,6.40732760477514e-06
ABCB5,1.13913958982419e-05
ABCB6,1.13045575120269e-06
ABCB7,1.28004525474611e-06
ABCB8,2.65897610489917e-06
ABCB9,1.63156400667281e-06
ABCC1,3.17304726529657e-06
ABCC10,1.51476000324317e-06
ABCC11,7.70387285283469e-06
ABCC12,5.00311557515152e-06
ABCC2,4.76524934466271e-06
ABCC3,3.82961662591762e-06
ABCC4,1.99651856986391e-06
ABCC5,2.1077302035089e-06
ABCC6,1.59672894278414e-06
ABCC8,3.89685109968255e-06
ABCC9,5.0631970781156e-06
ABCD1,2.81689279099715e-06
ABCD2,3.59229699375287e-06
ABCD3,1.21707740390065e-06
ABCD4,1.85568434658448e-06
ABCE1,7.26194501323722e-07
ABCF1,1.75690752279064e-06
ABCF2,1.55194702979268e-06
ABCF3,3.02181464620355e-06
ABCG1,4.14253092907238e-06
ABCG2,4.60489845769002e-06
ABCG4,6.39017283809083e-06
ABCG5,3.75250789157092e-06
ABCG8,7.79847072853287e-06
ABHD1,2.89818190058433e-06
ABHD10,9.65938664041856e-07
ABHD11,3.44462024522818e-06
ABHD12,1.08035789235396e-06
ABHD12B,2.18282833201153e-06
ABHD13,1.8264325625623e-06
ABHD14A,1.13290467089224e-06
ABHD14B,2.26423301555635e-06
ABHD15,2.20025837626015e-06
ABHD16A,1.4639543061533e-06
ABHD17A,1.82904321621857e-06
ABHD17B,1.13831699274045e-06
ABHD17C,1.16322980759269e-06
ABHD2,2.98561220335157e-06
ABHD3,1.52016517768896e-06
ABHD4,2.53163023327437e-06
ABHD5,1.91525020892394e-06
ABHD6,1.35982978334565e-06
ABHD8,8.50193110706565e-07
ABI1,9.50667532835221e-07
ABI2,2.04850791041376e-06
ABI3,6.73720411451074e-06
ABI3BP,1.31878387686361e-06
ABL1,3.61678678698444e-06
ABL2,3.29133157683072e-06
ABLIM1,2.73610648092057e-06
ABLIM2,4.04320694631313e-06
ABLIM3,2.09606085634985e-06
ABR,1.23452697611644e-06
ABRA,2.40791637548304e-06
ABRACL,1.82795971372894e-06
ABT1,2.09529113777332e-06
ABTB1,1.70493380898493e-06
ABTB2,2.40644592826241e-06
AC000003.2,3.43405207060179e-06
AC002365.1,2.79222225985105e-06
AC002451.1,3.34245723643394e-06
AC002472.1,1.08028340702244e-06
AC002472.13,1.12447462369819e-06
AC002553.1,8.6766301490957e-07
AC003043.1,2.14216322416424e-06
AC003101.1,1.87645137014114e-06
AC004017.1,2.12053126413501e-06
AC004381.6,1.88424251054966e-06
AC004528.1,5.24945258769209e-06
AC004817.1,2.36978261253897e-06
AC004824.2,1.48762810959702e-06
AC004899.1,4.33213502216193e-06
AC005003.1,9.77207344242532e-07
AC005008.2,1.41816525567499e-06
AC005082.1,1.22974075314712e-06
AC005477.1,3.04933411294599e-06
AC005481.5,5.18990175787104e-06
AC005488.1,1.06129892081214e-06
AC005493.1,5.75411337524797e-06
AC005549.3,1.42461397637198e-06
AC005609.1,9.78453174870645e-06
AC005841.1,1.16468974921188e-06
AC006014.1,1.17820399242752e-06
AC006116.20,2.59143582706269e-06
AC006126.3,8.21224681372832e-07
AC006156.1,1.76054275193326e-06
AC006372.1,1.92497631184868e-06
AC006455.1,3.22697803790732e-06
AC006486.1,1.09161269060936e-06
AC006547.14,1.25994978029655e-06
AC006946.15,3.55776405143776e-06
AC006967.1,2.3456282022843e-06
AC007204.1,5.52109541899251e-06
AC007216.2,1.40322494081337e-06
AC007377.1,2.38864813740658e-06
AC007382.1,9.24601684217401e-07
AC007401.2,1.65275823183504e-06
AC007461.1,2.98338372653059e-06
AC007557.1,1.51340380991166e-06
AC007919.2,2.14173969437132e-06
AC007952.1,8.90862580457737e-07
AC007952.5,1.08684847157198e-06
AC007952.6,1.44122208342337e-06
AC007965.1,5.55153198588722e-06
AC008060.7,3.83368509667718e-06
AC008132.1,1.35668292209035e-06
AC008132.13,1.0136440385652e-06
AC008267.1,3.72765282942694e-06
AC008372.1,2.07636835221319e-06
AC008387.1,1.57419673646127e-06
AC008394.1,1.61797688850997e-06
AC008498.1,1.71701140822912e-06
AC008686.1,9.66213619017457e-07
AC008914.1,7.78198006686403e-07
AC009041.2,3.36664401483822e-06
AC009060.1,1.2674662768431e-06
AC009365.3,6.42401775250382e-06
AC009403.2,1.51904405811868e-06
AC009802.1,1.32483817628403e-06
AC009892.10,4.08067045733017e-06
AC009977.1,3.29306680075312e-06
AC010368.2,1.37548847226515e-06
AC010536.1,1.15276966049664e-06
AC010760.1,6.614865040782e-06
AC010877.1,2.1082402347369e-06
AC011294.3,9.51862797968303e-07
AC011298.1,1.96104046411878e-06
AC011366.3,6.30939217340769e-06
AC011475.1,1.10800513351511e-06
AC011500.1,8.2960486497357e-07
AC011551.3,1.4264233465544e-06
AC011755.1,3.18335256180339e-06
AC011997.1,1.41542079004798e-06
AC012067.1,2.14591496754896e-06
AC012123.1,4.37086560539475e-06
AC012313.1,5.55257669406491e-06
AC012360.1,3.3714596002862e-06
