"Unique_Patient_Identifier","BRAF_V600E_ENSP00000288602","EGFR_L858R_ENSP00000275493","KRAS_G12C_ENSP00000256078","KRAS_G12D_ENSP00000256078"
"009be09b-f9f6-43b7-8f45-4a648f8123ce",6.69903229960458e-07,1.00143480887611e-06,5.75999455052197e-06,1.32363616011379e-06
"0232d299-4cdf-4fd7-9a5e-8d13c208b40c",8.48193937111416e-07,1.37397902036953e-06,4.92908766106178e-06,1.0467772595535e-06
"035c0b2b-c722-443b-8962-db4ee92c7532",9.14747998594086e-07,1.37763876998629e-06,6.06424572448452e-06,9.06063361436704e-07
"03c3409a-9d16-41d0-9e26-f9fc2547a4c8",1.07757467147659e-06,1.32172609461663e-06,7.82904658855442e-06,1.15738497239083e-06
"055e9a43-3c00-4110-a303-e4407676bec0",9.57621237104972e-07,1.58464499520424e-06,5.88120151100588e-06,1.1756072321798e-06
"06fe7f3e-4edd-4150-981c-93787ea19b39",8.59601775610441e-07,1.83695372063717e-06,5.04122060330373e-06,1.24177569646041e-06
"07119baf-64a7-454c-b1b0-c769b506a63d",1.19463673005222e-06,1.64416927763788e-06,7.50485768304549e-06,1.13168580353283e-06
"079ae0b3-b64b-4b8e-ab7d-225b8046568c",5.47933295520067e-07,8.48531057355304e-07,4.66874116429914e-06,8.8031245200415e-07
"07b5663f-9a54-4462-b6c1-6fc8116b8714",1.07261730988072e-06,1.04767565069818e-06,8.88574589506732e-06,6.92903893687047e-07
"088edf89-d2b5-40c7-b066-df3bd383f7ea",7.73655213263331e-07,9.52815397010958e-07,6.4066741735394e-06,9.61234630769319e-07
"09918b81-4696-4cba-a45a-5fe7407c2337",7.14269448250509e-07,1.50776045588783e-06,3.60693835871724e-06,1.17371008352562e-06
"0a1eea76-e19a-4547-9b24-abf7051cc4db",9.67767724537232e-07,9.16414515463525e-07,7.96373692021727e-06,7.89564618830076e-07
"0b31dbdf-0623-48e4-a0ec-017650dceda7",1.08263108675049e-06,1.26514274878743e-06,7.59372983588267e-06,1.10204592125965e-06
"0c59ff96-5e4a-4664-a0b1-d057b4725483",9.57025403687243e-07,9.0967409084687e-07,8.23410035244604e-06,7.29454764488711e-07
"0d0d83d9-d558-4d38-977b-6f1b2471beda",8.99523622673138e-07,1.60224978272566e-06,4.2326735490445e-06,1.12341174190718e-06
"0df573ee-28f0-4244-b434-09e6ca59fbf0",7.37504533651678e-07,1.28662057822446e-06,4.08244363416152e-06,9.28422681942738e-07
"0ea4920f-f4c8-4590-84b3-eb419824e144",9.4871608524635e-07,9.2927370815338e-07,7.49202230778288e-06,6.2305597060261e-07
"0fe909ea-d52c-4b71-816f-57f62d4a5744",8.99690138213939e-07,9.52542094778417e-07,7.16170599401937e-06,7.65610703347537e-07
