"Unique_Patient_Identifier","BRAF_V600E_ENSP00000288602","EGFR_L858R_ENSP00000275493","KRAS_G12C_ENSP00000256078","KRAS_G12D_ENSP00000256078"
"00048fa6-4318-42ef-9709-7dedb0d938b3",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"000da8b9-7511-4097-ae68-2c0f0cfe6f85",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"000e0a5a-82fc-45a2-ab70-b1dcead463a7",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"00561298-43a1-4a3a-aff2-e6beb44a80a7",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0075437e-ba1a-46be-86d6-9773209a2b5e",7.92565774705795e-08,4.38395007422968e-07,2.20652789321866e-07,5.31453879955757e-07
"0078f49a-417d-4f2a-914b-990212a3e455",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"009be09b-f9f6-43b7-8f45-4a648f8123ce",4.02515483813165e-07,6.77084390116913e-07,3.66236817177957e-06,8.41605473980524e-07
"0172e98d-78bf-4bec-8df0-3642fbef62cc",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"01c1bea3-fa87-4504-9300-05529ceca75c",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"01e9888d-b5b9-48f1-8ba6-8a89af108a04",4.31369880499742e-07,8.02809665915877e-07,2.45261566569107e-06,9.3365685963288e-07
"0232d299-4cdf-4fd7-9a5e-8d13c208b40c",5.09642553871471e-07,9.28966857148086e-07,3.13405396610109e-06,6.65570719677848e-07
"024efade-c21f-4a07-a7f4-052f0e85d3b0",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"028e99e9-5b9a-4954-bb6e-6d4709a3cea8",3.3888351898845e-07,9.97467478249406e-07,1.81474793732403e-06,9.671107591699e-07
"02af0ce4-c8a5-4a6e-86a3-5a00a2dd6650",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0322fde9-8946-428c-b9c5-763f99186f7e",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"035c0b2b-c722-443b-8962-db4ee92c7532",5.49631971834136e-07,9.31441266181286e-07,3.85581971170265e-06,5.7610082569274e-07
"035fab94-8eb8-4a14-8ee1-925886032f65",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0363aa7b-69ad-4b3d-8845-8aea23d45030",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"03895a60-558a-41c8-96a4-faec115a43cc",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"03ad2f27-d792-449c-b5a5-ee11da0534b1",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"03c3409a-9d16-41d0-9e26-f9fc2547a4c8",6.47467381609454e-07,8.9363790707401e-07,4.97793023757336e-06,7.35898245771092e-07
"03dd368f-2b20-4987-9819-5e2266e9ab3f",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"03e19e7c-bb32-4233-a4ea-822c5d2e6346",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0440e255-15bd-466d-ac5a-0f2cd4b43cdc",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0456da9d-aef4-437c-a9b7-ebed74fec2ff",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"048498ec-a132-4285-a01e-3dd0f95b42fe",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"04d90f0b-b4b9-4081-becc-cf46480925c3",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"04e6a35d-e113-41fe-ac29-aa15315d6c29",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"04fd9c7c-7233-488b-a579-76b48d2795da",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0502f5c6-1455-47b3-9376-0307576738fa",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"05534064-8b43-4c82-95da-70fd83bd6560",2.9263134573539e-07,8.17374746930766e-07,1.58318168879526e-06,1.13116852442627e-06
"05581c13-6e57-4fc7-85e3-afe009de6a34",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"055e9a43-3c00-4110-a303-e4407676bec0",5.75392621387751e-07,1.07140113427235e-06,3.73943500064214e-06,7.47484476223853e-07
"061347df-b7eb-40ed-b2b0-8b0067ba6d31",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"063b5ad5-2756-41d9-8d02-58ab46034953",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"068b6553-71e3-4581-a98a-54c77565a6c0",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"06b3441f-d3a5-45c2-9d62-aa36979c71c7",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"06e99c48-8fdc-4bbc-b5ce-066dd16a2a07",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"06fe7f3e-4edd-4150-981c-93787ea19b39",5.16497023931227e-07,1.24199067037271e-06,3.20535127638027e-06,7.89556265603389e-07
"07119baf-64a7-454c-b1b0-c769b506a63d",7.17804840866839e-07,1.11164635254468e-06,4.77180172151906e-06,7.19557984119592e-07
"0738014b-8e59-4fee-b041-f7aac6cf371f",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"077525e2-4ad7-4fe5-9ca9-b8724adbc4dd",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0780eb43-d5b5-4c3d-9825-beacba5cc723",1.63108211013857e-07,6.93839439694174e-07,7.69605818184797e-07,1.0559057531353e-06
"07842dff-fb95-47af-87ed-9729854daf91",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"079ae0b3-b64b-4b8e-ab7d-225b8046568c",3.29229097099025e-07,5.73703977904916e-07,2.96851826723634e-06,5.59727665914036e-07
"07b5663f-9a54-4462-b6c1-6fc8116b8714",6.44488720346221e-07,7.0834848430066e-07,5.64980967658494e-06,4.405679804179e-07
"0862bc65-c09b-4f2e-8a73-41352b5841d1",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"086fc9ee-f2ac-483d-bac5-b0f12e6c09f2",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0880446c-a01c-4d5e-921d-3146106986b6",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"088edf89-d2b5-40c7-b066-df3bd383f7ea",4.64855502323296e-07,6.44212110724602e-07,4.07354544771342e-06,6.11180286103365e-07
"09047874-5f28-4154-8b5c-30940e2f2ca8",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"09078761-1c14-4d01-8e15-535c19a9b0f9",3.15191123336741e-07,1.09773458044266e-06,1.3594923988749e-06,8.68902654291631e-07
"09512ade-6a27-466f-8864-e64c2bacd71b",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"096bd95f-9900-4db2-b1c4-103902c3b31f",2.93857016037292e-07,8.11886953404026e-07,1.39600779694871e-06,4.52084757961133e-07
"09918b81-4696-4cba-a45a-5fe7407c2337",4.29173199467163e-07,1.01941839815107e-06,2.29339387853063e-06,7.46278215213142e-07
"09a3ec6a-76c0-40e3-b8c6-0feead6bd9d5",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0a1eea76-e19a-4547-9b24-abf7051cc4db",5.81489200886318e-07,6.19600954347961e-07,5.06357017688264e-06,5.02027615513021e-07
"0a45f302-5748-48f3-9dc9-66c01843a68e",1.76576465560095e-07,8.49365506854524e-07,4.41538282887098e-07,1.20326431721028e-06
"0a8a7d09-6890-4077-8ef4-d3104e09f2aa",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0a8d72fe-5554-4933-a212-bcf7fc32b091",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0a9f6262-4819-4c31-b5bd-d043b0d0487d",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0aa53322-dd6d-4bf1-a895-a636a423bac6",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0b15fcb8-1fb7-497e-80b9-d3db66a3c0a2",1.85437090165115e-07,7.87499662902223e-07,1.37475235694603e-06,1.12541865856103e-06
"0b31dbdf-0623-48e4-a0ec-017650dceda7",6.50505559885518e-07,8.55381098081586e-07,4.8283091610754e-06,7.007121049264e-07
"0b35cbb6-364d-4f7c-878b-b8d9ba8c0e48",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0b527ab9-6a32-44c6-828b-c659fe249698",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0b590cf3-5d12-49cf-9f88-93979cfeeb82",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0b702f27-fad9-4966-a822-5ebea435b9ab",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0b9147e4-c55a-4371-8b83-9e474af67913",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0b930a5d-de7e-4d5a-8548-dc948730bd58",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0bc5af07-cc74-4fe4-963d-d9abafa65244",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0bc9a7cb-4299-423c-b7e6-f4c56d3b1750",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5",2.96964603587195e-07,8.92480905994501e-07,1.5318798512022e-06,9.85471530222721e-07
"0c29d1c9-45db-4cd8-af42-3518298a9aad",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0c5359ff-38fa-4440-af49-f4f2dafc3353",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0c59ff96-5e4a-4664-a0b1-d057b4725483",5.75034611207052e-07,6.15043656908082e-07,5.23547492788939e-06,4.63808062452824e-07
"0c5fb426-169c-4bce-85b3-0894f7cf492b",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0c67f124-ddd4-47dc-95bd-df292c20bb57",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0c9443c3-6841-43c6-b486-5c9a1e4fc1dc",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0c96275a-14ef-4b05-807c-10a7ae494ef3",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0c98e106-ab96-4362-aa66-857600dbef40",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0cda6a03-9536-4d69-9dc9-be5c1d9de45d",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0cec2f9a-9f5d-4d70-aa96-ec9dedb6eb49",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0d0d83d9-d558-4d38-977b-6f1b2471beda",5.40484311746073e-07,1.08330398278174e-06,2.69125408914651e-06,7.14297100678935e-07
"0d0e20f7-b02f-4d8e-b27c-5a7810f70ae5",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0d59ffb7-814f-48fe-b17a-a93391d6ed3a",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0d66bf6c-eed0-4726-bd5b-3bf6d610b4e0",1.90076091728652e-07,4.79459649113663e-07,4.20070834926483e-07,5.97722169852345e-07
"0d721fda-6bb1-4a0f-a616-42073491eaad",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0d753366-4a26-455b-98f5-89e4f5b27edf",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0d8479a1-2afc-48b4-8966-815dde7474c8",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0d96def2-cf0a-4659-94e5-f08744c57cc6",4.78076372681002e-07,1.18864465158747e-06,2.2396755317385e-06,8.19805748949629e-07
"0d980584-4484-4063-8243-c3cd67f6f588",3.63570830977869e-07,9.5969494080351e-07,1.81258185677049e-06,8.29281989627836e-07
"0df573ee-28f0-4244-b434-09e6ca59fbf0",4.43134143710175e-07,8.69902565596508e-07,2.5957336413595e-06,5.903175168798e-07
"0dfa5909-f2e1-4f90-acc4-afde50a012e4",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0e3320ba-f24f-4383-991d-ce31ef0fc48a",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0e49f8fd-2ea7-46dc-bb3d-1f8055a2db68",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0ea4920f-f4c8-4590-84b3-eb419824e144",5.70041906017989e-07,6.28295238351907e-07,4.76364062528498e-06,3.96156686600588e-07
"0eaf5982-95df-4617-b616-dde6a49d4104",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0eba1e57-ebff-4262-9657-b7513dad6256",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0ef3b54f-2af9-4e73-a3c2-2627ffedfa59",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0efa6385-3ae9-4643-97dd-066fe44a2909",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0f56009e-ff26-41ca-b710-2e72ee8ab0c4",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0f679785-d59d-43ba-9618-62ba61879c2b",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0f762d34-cdb2-477e-9af4-8e026194f0e5",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"0fe909ea-d52c-4b71-816f-57f62d4a5744",5.40584363634868e-07,6.44027327178237e-07,4.55361612898794e-06,4.86797035538809e-07
"100430c8-1446-45c8-af36-b6dbb3ddd0c1",9.65825825583613e-08,5.42081148863821e-07,2.54941656212869e-07,5.96730805623597e-07
"101f6d08-334c-41b0-a402-b130736452a8",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"10237178-29bd-468f-b223-55d0f02454a5",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"103c0f6f-fce6-4278-af24-fa958dc172d7",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"103cf4ed-0988-4db2-89a3-4908bb5cdb54",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"1070ff27-17c9-43dd-a4f6-daa643eb9123",4.67933326083925e-07,5.71139721656375e-07,3.66337538771525e-06,3.85059137414852e-07
"10857944-6a31-49a3-9a61-3fa5b4c97e55",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"108a71cf-b9db-47cd-aa74-c03ec989b41b",6.15112905529572e-07,9.39042982869106e-07,4.63736336574384e-06,7.21151583945795e-07
"111e44be-6c34-4056-b9f8-c9d408d5bbbb",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"114a34c0-983b-4d90-9181-1823c9637a63",5.02415706218256e-07,6.95188556082998e-07,3.91950512386034e-06,5.24557083236044e-07
"117252ff-2627-436d-8af8-27575b33f3a5",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"11b78f0a-61dc-404b-b37b-8dba63cdb6c5",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"11c2e619-8aeb-4f86-b03b-78f9a8099263",5.9809386544875e-07,1.09322671806637e-06,4.05836709854299e-06,6.65224500234657e-07
"11c614fd-066b-4901-b454-c6c9fef178e0",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"11cb341d-d069-4ad2-a7af-dcc7f05a2ccf",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"11d6d932-82c1-4122-9c00-f0e923632e12",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"1216e3db-0967-4ba2-99ee-bd9e9efb5041",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"121ee563-7b91-466d-8598-116c78032a4f",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"1244871d-da51-47bb-99b6-92bde81c14da",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"1259c85b-d695-465f-b2f5-bd136b912b12",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"127bf818-f7e5-46b5-a9de-39f6d96b8b83",5.628860913053e-07,1.00202962880473e-06,3.55876035437968e-06,7.68154594341684e-07
"12b79b4f-c28c-418e-a1e7-e622f33fdcc2",1.86438249062219e-07,8.71202471197919e-07,7.74763294528693e-07,8.71324163977895e-07
"12c07138-e3fa-418a-89e3-628da12bc99e",1.15355190290667e-07,4.18758455370754e-07,3.37603273194011e-07,2.29603772808892e-07
"12c27db5-db2f-48dc-a2ca-9557b951f43e",3.27489888052744e-07,6.63821086297618e-07,1.72704486057665e-06,6.10713567274447e-07
"12ccd581-a921-41bc-bcee-4e9be54532cc",5.46435529659278e-07,7.86110723107226e-07,4.09264188731226e-06,7.36189978251279e-07
"12da3093-959e-4ff0-9823-d420d4bc1c37",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"13071256-f44c-4d22-b32b-548e06ce8be6",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"132e81e0-e15f-46c6-a263-31168d273f3e",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
"135af7a0-226c-4230-aa0f-d3a80a8443c4",4.34882347244385e-07,8.53097513448983e-07,2.91803541736909e-06,7.08245451974128e-07
